"time" "N1" "N2" "N3" "N4" "N5"
"1" 0 0.11 0.12 0.13 0.14 0.15
"2" 0.25 0.1304 0.1427 0.1548 0.1652 0.1774
"3" 0.5 0.1546 0.1697 0.1843 0.1948 0.2099
"4" 0.75 0.1832 0.2018 0.2194 0.2298 0.2482
"5" 1 0.2171 0.24 0.2612 0.2711 0.2936
"6" 1.25 0.2574 0.2854 0.311 0.3198 0.3472
"7" 1.5 0.305 0.3394 0.3702 0.3772 0.4106
"8" 1.75 0.3615 0.4036 0.4407 0.4449 0.4855
"9" 2 0.4284 0.4799 0.5246 0.5247 0.5742
"10" 2.25 0.5076 0.5705 0.6244 0.6187 0.6789
"11" 2.5 0.6015 0.6783 0.7432 0.7296 0.8026
"12" 2.75 0.7126 0.8064 0.8845 0.8602 0.9489
"13" 3 0.8442 0.9585 1.0526 1.014 1.1216
"14" 3.25 1 1.1393 1.2526 1.1952 1.3256
"15" 3.5 1.1843 1.354 1.4903 1.4085 1.5665
"16" 3.75 1.4024 1.6088 1.773 1.6594 1.8507
"17" 4 1.6602 1.9113 2.1088 1.9546 2.186
"18" 4.25 1.9649 2.2702 2.5079 2.3015 2.5812
"19" 4.5 2.3249 2.6958 2.9816 2.7088 3.0468
"20" 4.75 2.7496 3.2001 3.5439 3.1867 3.5948
"21" 5 3.2504 3.7972 4.2105 3.7467 4.2391
"22" 5.25 3.84 4.5034 5.0003 4.4017 4.9956
"23" 5.5 4.5331 5.3377 5.9347 5.1664 5.882
"24" 5.75 5.3462 6.3214 7.0384 6.0567 6.9184
"25" 6 6.2973 7.4787 8.3395 7.0895 8.126
"26" 6.25 7.4053 8.8357 9.8684 8.2817 9.5272
"27" 6.5 8.6889 10.4195 11.6574 9.6481 11.1425
"28" 6.75 10.1632 12.2551 13.7372 11.1974 12.9871
"29" 7 11.8337 14.3587 16.1301 12.9245 15.0618
"30" 7.25 13.6818 16.7225 18.8333 14.7938 17.3344
"31" 7.5 15.6334 19.2778 21.7794 16.7037 19.6987
"32" 7.75 17.4881 21.8067 24.7363 18.418 21.8881
"33" 8 18.8365 23.8065 27.1431 19.52 23.3951
"34" 8.25 19.3761 24.812 28.439 19.7913 23.8964
"35" 8.5 19.4527 25.1964 29.0166 19.6329 23.8493
"36" 8.75 19.4183 25.4259 29.4138 19.3792 23.675
"37" 9 19.3649 25.6294 29.7825 19.1124 23.4802
"38" 9.25 19.3074 25.8283 30.1482 18.8458 23.2824
"39" 9.5 19.2481 26.0256 30.5147 18.5812 23.0839
"40" 9.75 19.1873 26.2219 30.8826 18.319 22.8853
"41" 10 19.125 26.4171 31.2517 18.0591 22.6865
"42" 10.25 19.0613 26.6113 31.6222 17.8017 22.4877
"43" 10.5 18.9962 26.8044 31.994 17.5466 22.2889
"44" 10.75 18.9297 26.9963 32.3669 17.2939 22.0901
"45" 11 18.8619 27.1871 32.741 17.0436 21.8914
"46" 11.25 18.7927 27.3766 33.1162 16.7957 21.6927
"47" 11.5 18.7223 27.5649 33.4925 16.5502 21.4942
"48" 11.75 18.6505 27.7519 33.8698 16.3072 21.2958
"49" 12 18.5774 27.9376 34.248 16.0666 21.0976
"50" 12.25 18.5032 28.1219 34.6271 15.8284 20.8996
"51" 12.5 18.4277 28.3048 35.0071 15.5926 20.7019
"52" 12.75 18.3509 28.4863 35.3878 15.3592 20.5045
"53" 13 18.2731 28.6664 35.7693 15.1283 20.3075
"54" 13.25 18.194 28.8449 36.1515 14.8998 20.1108
"55" 13.5 18.1138 29.022 36.5344 14.6737 19.9145
"56" 13.75 18.0326 29.1975 36.9179 14.4501 19.7186
"57" 14 17.9502 29.3714 37.3019 14.2289 19.5232
"58" 14.25 17.8668 29.5437 37.6864 14.0101 19.3282
"59" 14.5 17.7839 29.6849 38.0661 13.7948 19.1354
"60" 14.75 17.6996 29.7333 38.3633 13.5984 18.9681
"61" 15 17.5955 29.7433 38.6097 13.4356 18.8492
"62" 15.25 17.4787 29.7287 38.8238 13.3064 18.7792
"63" 15.5 17.3512 29.6932 39.0097 13.2079 18.7546
"64" 15.75 17.2143 29.6386 39.1697 13.1375 18.7719
"65" 16 17.0692 29.5667 39.3058 13.0926 18.8281
"66" 16.25 16.9168 29.4789 39.4195 13.0712 18.9206
"67" 16.5 16.7578 29.3765 39.5121 13.0714 19.0472
"68" 16.75 16.5931 29.2606 39.5851 13.0917 19.206
"69" 17 16.4232 29.1322 39.6392 13.1304 19.3951
"70" 17.25 16.2486 28.992 39.6757 13.1864 19.613
"71" 17.5 16.07 28.841 39.6951 13.2583 19.8585
"72" 17.75 15.888 28.6803 39.6991 13.3452 20.1239
"73" 18 15.7048 28.5143 39.6938 13.4473 20.3894
"74" 18.25 15.5215 28.3447 39.6818 13.5645 20.6545
"75" 18.5 15.3381 28.1718 39.6633 13.6964 20.9191
"76" 18.75 15.155 27.9962 39.6391 13.8385 21.1837
"77" 19 14.9731 27.8196 39.6118 13.9813 21.4498
"78" 19.25 14.7927 27.6427 39.5824 14.1247 21.7178
"79" 19.5 14.6137 27.4656 39.5507 14.2687 21.9878
"80" 19.75 14.4363 27.2881 39.517 14.4133 22.2598
"81" 20 14.2603 27.1104 39.481 14.5585 22.5338
"82" 20.25 14.0857 26.9325 39.443 14.7042 22.8097
"83" 20.5 13.9127 26.7544 39.4028 14.8505 23.0875
"84" 20.75 13.7411 26.576 39.3605 14.9973 23.3673
"85" 21 13.571 26.3975 39.316 15.1447 23.649
"86" 21.25 13.4023 26.2189 39.2695 15.2925 23.9326
"87" 21.5 13.2352 26.0401 39.2208 15.4409 24.2181
"88" 21.75 13.0694 25.8611 39.17 15.5897 24.5055
"89" 22 12.9052 25.6821 39.1171 15.739 24.7947
"90" 22.25 12.7424 25.503 39.0622 15.8888 25.0858
"91" 22.5 12.581 25.3239 39.0051 16.039 25.3787
"92" 22.75 12.4211 25.1447 38.946 16.1896 25.6734
"93" 23 12.2626 24.9654 38.8848 16.3406 25.9699
"94" 23.25 12.1056 24.7862 38.8215 16.4921 26.2682
